generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,2436804.2282,0,2058922.48,5,5a Avenida SE | Boulevard Cuarto Centenario | 3a Calle NE | Antigua Carretera del Norte | 6a Avenida SE,2287106082-2287106085-0; 3343104922-2347139626-0; 12121728919-2347139840-0; 2347139512-826485101-0; 2347139702-2287106068-0
1,2436804.2282,1,377881.75,4,1a Calle SE | Boulevard Cuarto Centenario | Boulevard Roberto Romero Larios | Antigua Carretera del Norte,2287106082-2347139702-0; 3343104922-2347139626-0; 512533997-560542844-0; 2347139512-826485101-0
2,2436804.2282,0,2058922.48,5,5a Avenida SE | Boulevard Cuarto Centenario | 3a Calle NE | Antigua Carretera del Norte | 6a Avenida SE,2287106082-2287106085-0; 3343104922-2347139626-0; 12121728919-2347139840-0; 2347139512-826485101-0; 2347139702-2287106068-0
2,2436804.2282,1,377881.75,4,1a Calle SE | Boulevard Cuarto Centenario | Boulevard Roberto Romero Larios | Antigua Carretera del Norte,2287106082-2347139702-0; 3343104922-2347139626-0; 512533997-560542844-0; 2347139512-826485101-0
3,5413580.8063,0,2706790.40,4,(sin nombre: 5035807331-5035807341) | 3a Calle NE | Antigua Carretera del Norte | 6a Calle NO,5035807331-5035807341-0; 12121728919-2347139840-0; 585133723-11904639538-0; 2347139875-4177205822-0
4,7226630.3805,0,2706790.40,4,(sin nombre: 5035807331-5035807341) | 3a Calle NE | Antigua Carretera del Norte | 6a Calle NO,5035807331-5035807341-0; 12121728919-2347139840-0; 585133723-11904639538-0; 2347139875-4177205822-0
4,7226630.3805,1,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
4,7226630.3805,2,2866191.52,5,5a Avenida SE | (sin nombre: 5035807331-5035807341) | Boulevard Cuarto Centenario | 3a Calle NE | Antigua Carretera del Norte,2287106082-2287106085-0; 5035807331-5035807341-0; 3343104922-2347139626-0; 12121728919-2347139840-0; 585133723-11904639538-0
5,7226630.3805,0,2706790.40,4,(sin nombre: 5035807331-5035807341) | 3a Calle NE | Antigua Carretera del Norte | 6a Calle NO,5035807331-5035807341-0; 12121728919-2347139840-0; 585133723-11904639538-0; 2347139875-4177205822-0
5,7226630.3805,1,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
5,7226630.3805,2,2866191.52,5,5a Avenida SE | (sin nombre: 5035807331-5035807341) | Boulevard Cuarto Centenario | 3a Calle NE | Antigua Carretera del Norte,2287106082-2287106085-0; 5035807331-5035807341-0; 3343104922-2347139626-0; 12121728919-2347139840-0; 585133723-11904639538-0
6,7710790.8464,0,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
6,7710790.8464,1,3150238.38,5,5a Avenida SE | (sin nombre: 5035807331-5035807341) | Boulevard Cuarto Centenario | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 3343104922-2347139626-0; 12121728919-2347139840-0; 2347139875-4177205822-0
6,7710790.8464,2,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
6,7710790.8464,3,2906904.02,4,1a Avenida SO | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,1681021102-1681021088-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
7,7710790.8464,0,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
7,7710790.8464,1,3150238.38,5,5a Avenida SE | (sin nombre: 5035807331-5035807341) | Boulevard Cuarto Centenario | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 3343104922-2347139626-0; 12121728919-2347139840-0; 2347139875-4177205822-0
7,7710790.8464,2,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
7,7710790.8464,3,2906904.02,4,1a Avenida SO | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,1681021102-1681021088-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
8,7846665.5472,0,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
8,7846665.5472,1,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
8,7846665.5472,2,2906904.02,4,1a Avenida SO | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,1681021102-1681021088-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
8,7846665.5472,3,3286113.08,5,5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 4177205817-4177220670-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
9,7846665.5472,0,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
9,7846665.5472,1,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
9,7846665.5472,2,2906904.02,4,1a Avenida SO | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,1681021102-1681021088-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
9,7846665.5472,3,3286113.08,5,5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 4177205817-4177220670-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
10,8048328.5158,0,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
10,8048328.5158,1,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
10,8048328.5158,2,3313464.10,5,5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 4177205819-4177220675-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
10,8048328.5158,3,3081215.96,4,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
11,8048328.5158,0,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
11,8048328.5158,1,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
11,8048328.5158,2,3313464.10,5,5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 4177205819-4177220675-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
11,8048328.5158,3,3081215.96,4,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
12,8048328.5158,0,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
12,8048328.5158,1,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
12,8048328.5158,2,3313464.10,5,5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 4177205819-4177220675-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
12,8048328.5158,3,3081215.96,4,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
13,8048328.5158,0,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
13,8048328.5158,1,1653648.45,3,(sin nombre: 5035807331-5035807341) | (sin nombre: 8829885443-585133715) | 6a Calle NO,5035807331-5035807341-0; 8829885443-585133715-0; 2347139875-4177205822-0
13,8048328.5158,2,3313464.10,5,5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 4177205819-4177220675-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
13,8048328.5158,3,3081215.96,4,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
14,8149763.5305,0,3313464.10,5,5a Avenida SE | Boulevard Cuarto Centenario | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 4177205819-4177220675-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
14,8149763.5305,1,3081215.96,4,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
14,8149763.5305,2,1755083.47,3,1a Avenida SO | (sin nombre: 5035807331-5035807341) | 6a Calle NO,1681021102-1681021088-0; 5035807331-5035807341-0; 2347139875-4177205822-0
15,14636463.3273,0,3081215.96,4,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
15,14636463.3273,1,1755083.47,3,1a Avenida SO | (sin nombre: 5035807331-5035807341) | 6a Calle NO,1681021102-1681021088-0; 5035807331-5035807341-0; 2347139875-4177205822-0
15,14636463.3273,2,9800163.90,5,1a Calle SE | Boulevard Cuarto Centenario | (sin nombre: 5035807331-5035807341) | 5a Avenida NO | 6a Calle NO,2287106082-2347139702-0; 4177205817-4177220670-0; 5035807331-5035807341-0; 2347139875-2347139888-0; 2347139875-4177205822-0
16,14811088.1327,0,3081215.96,4,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
16,14811088.1327,1,9800163.90,5,1a Calle SE | Boulevard Cuarto Centenario | (sin nombre: 5035807331-5035807341) | 5a Avenida NO | 6a Calle NO,2287106082-2347139702-0; 4177205817-4177220670-0; 5035807331-5035807341-0; 2347139875-2347139888-0; 2347139875-4177205822-0
16,14811088.1327,2,1929708.27,3,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 2347139875-4177205822-0
17,14811088.1327,0,3081215.96,4,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
17,14811088.1327,1,9800163.90,5,1a Calle SE | Boulevard Cuarto Centenario | (sin nombre: 5035807331-5035807341) | 5a Avenida NO | 6a Calle NO,2287106082-2347139702-0; 4177205817-4177220670-0; 5035807331-5035807341-0; 2347139875-2347139888-0; 2347139875-4177205822-0
17,14811088.1327,2,1929708.27,3,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 2347139875-4177205822-0
18,14947366.1935,0,3081215.96,4,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
18,14947366.1935,1,1929708.27,3,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 2347139875-4177205822-0
18,14947366.1935,2,9936441.96,5,1a Calle SE | (sin nombre: 5035807331-5035807341) | 5a Avenida NO | (sin nombre: 5391123448-2347139512) | 6a Calle NO,2287106082-2347139702-0; 5035807331-5035807341-0; 2347139875-2347139888-0; 5391123448-2347139512-0; 2347139875-4177205822-0
19,15144389.0515,0,3081215.96,4,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 3a Calle NE | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 12121728919-2347139840-0; 2347139875-4177205822-0
19,15144389.0515,1,1929708.27,3,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 2347139875-4177205822-0
19,15144389.0515,2,10133464.82,5,(sin nombre: 8829885429-8829885428) | (sin nombre: 5035807331-5035807341) | 5a Avenida NO | (sin nombre: 5391123448-2347139512) | 6a Calle NO,8829885429-8829885428-0; 5035807331-5035807341-0; 2347139875-2347139888-0; 5391123448-2347139512-0; 2347139875-4177205822-0
20,22007859.3860,0,1929708.27,3,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 2347139875-4177205822-0
20,22007859.3860,1,10340231.89,5,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 5a Avenida NO | (sin nombre: 5391123448-2347139512) | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 2347139875-2347139888-0; 5391123448-2347139512-0; 2347139875-4177205822-0
20,22007859.3860,2,9737919.23,4,(sin nombre: 5035807331-5035807341) | 5a Avenida NO | Antigua Carretera del Norte | 6a Calle NO,5035807331-5035807341-0; 2347139875-2347139888-0; 585133723-11904639538-0; 2347139875-4177205822-0
21,22007859.3860,0,1929708.27,3,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 2347139875-4177205822-0
21,22007859.3860,1,10340231.89,5,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 5a Avenida NO | (sin nombre: 5391123448-2347139512) | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 2347139875-2347139888-0; 5391123448-2347139512-0; 2347139875-4177205822-0
21,22007859.3860,2,9737919.23,4,(sin nombre: 5035807331-5035807341) | 5a Avenida NO | Antigua Carretera del Norte | 6a Calle NO,5035807331-5035807341-0; 2347139875-2347139888-0; 585133723-11904639538-0; 2347139875-4177205822-0
22,22381175.6370,0,1929708.27,3,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 2347139875-4177205822-0
22,22381175.6370,1,10340231.89,5,5a Avenida SE | (sin nombre: 5035807331-5035807341) | 5a Avenida NO | (sin nombre: 5391123448-2347139512) | 6a Calle NO,2287106082-2287106085-0; 5035807331-5035807341-0; 2347139875-2347139888-0; 5391123448-2347139512-0; 2347139875-4177205822-0
